source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,source_name_eng,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
kum,0,None,language,Kumõki,Kumyk,,No matching concept,0,None,,,2024-06-04,2099-12-31
kur,0,None,language,Kurdi,Kurdish,Main spoken language Kurdish,395109004,4216336,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
kut,0,None,language,Kutenai,Kutenai,,No matching concept,0,None,,,2024-06-04,2099-12-31
lad,0,None,language,Ladiino,Ladino,,No matching concept,0,None,,,2024-06-04,2099-12-31
lah,0,None,language,Lahnda,Lahnda,,No matching concept,0,None,,,2024-06-04,2099-12-31
lam,0,None,language,Lamba,Lamba,,No matching concept,0,None,,,2024-06-04,2099-12-31
lao,0,None,language,Lao,Lao,Main spoken language Lao,698669009,44782511,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
lat,0,None,language,Ladina,Latin,Main spoken language Latin,970691000000103,46285412,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
lav,0,None,language,Läti,Latvian,Main spoken language Latvian,698909009,44782895,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
lbe,0,None,language,Laki,Lak,,No matching concept,0,None,,,2024-06-04,2099-12-31
lez,0,None,language,Lesgi,Lezghian,,No matching concept,0,None,,,2024-06-04,2099-12-31
lim,0,None,language,Limburgi,Limburgan; Limburger; Limburgish,Main spoken language Limburgan,970701000000103,46285413,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
lin,0,None,language,Lingala,Lingala,Main spoken language Lingala,408526004,4256746,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
lit,0,None,language,Leedu,Lithuanian,Main spoken language Lithuanian,407656004,4253313,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
liv,0,None,language,Liivi,Livonian,,No matching concept,0,None,,,2024-06-04,2099-12-31
lol,0,None,language,Mongo,Mongo,,No matching concept,0,None,,,2024-06-04,2099-12-31
loz,0,None,language,Lozi,Lozi,,No matching concept,0,None,,,2024-06-04,2099-12-31
ltz,0,None,language,Letseburgi,Luxembourgish; Letzeburgesch,Main spoken language Luxembourgish,970721000000107,46285414,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
lua,0,None,language,Kasai luba,Luba-Lulua,,No matching concept,0,None,,,2024-06-04,2099-12-31
lub,0,None,language,Katanga luba,Luba-Katanga,Main spoken language Luba-Katanga,970711000000101,46287226,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
lug,0,None,language,Ganda,Ganda,Main spoken language Luganda,408527008,4248659,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
lui,0,None,language,Luisenjo,Luiseno,,No matching concept,0,None,,,2024-06-04,2099-12-31
lun,0,None,language,Lunda,Lunda,,No matching concept,0,None,,,2024-06-04,2099-12-31
luo,0,None,language,Luo,Luo (Kenya and Tanzania),,No matching concept,0,None,,,2024-06-04,2099-12-31
lus,0,None,language,Mizo,Lushai,,No matching concept,0,None,,,2024-06-04,2099-12-31
mac,0,None,language,Makedoonia,Macedonian,Main spoken language Macedonian,698670005,44784509,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
mad,0,None,language,Madura,Madurese,,No matching concept,0,None,,,2024-06-04,2099-12-31
mag,0,None,language,Magahi,Magahi,,No matching concept,0,None,,,2024-06-04,2099-12-31
mah,0,None,language,Maršalli,Marshallese,Main spoken language Marshallese,970751000000102,46285415,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
mai,0,None,language,Maithili,Maithili,,No matching concept,0,None,,,2024-06-04,2099-12-31
mak,0,None,language,Makassari,Makasar,,No matching concept,0,None,,,2024-06-04,2099-12-31
mal,0,None,language,Malajalami,Malayalam,Main spoken language Malayalam,408529006,4256747,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
man,0,None,language,Malinke,Mandingo,,No matching concept,0,None,,,2024-06-04,2099-12-31
mao,0,None,language,Maoori,Maori,Main spoken language Māori,698673007,44784511,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
map,0,None,language,Austroneesia keeled,Austronesian languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
mar,0,None,language,Marathi,Marathi,Main spoken language Marathi,698674001,44782513,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
mas,0,None,language,Maasai,Masai,,No matching concept,0,None,,,2024-06-04,2099-12-31
may,0,None,language,Malai,Malay,Main spoken language Malay,698672002,44784510,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
mdf,0,None,language,Mokša,Moksha,,No matching concept,0,None,,,2024-06-04,2099-12-31
mdr,0,None,language,Mandari,Mandar,,No matching concept,0,None,,,2024-06-04,2099-12-31
men,0,None,language,Mende,Mende,,No matching concept,0,None,,,2024-06-04,2099-12-31
mfe,0,None,language,Mauritiuse kreoolkeel,Mauritius Creole French; Maurysen; Mauritian Creole; Morisyen,Main spoken language French Créole,408521009,4256744,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
mga,0,None,language,Keskiiri (900–1200),"Irish, Middle (900-1200)",,No matching concept,0,None,,,2024-06-04,2099-12-31
mic,0,None,language,Mikmaki,Mi'kmaq; Micmac,,No matching concept,0,None,,,2024-06-04,2099-12-31
min,0,None,language,Minangkabau,Minangkabau,,No matching concept,0,None,,,2024-06-04,2099-12-31
mis,0,None,language,Kodeerimata keeled,Uncoded languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
mkh,0,None,language,Moni-khmeeri keeled,Mon-Khmer languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
mlg,0,None,language,Malagassi,Malagasy,Main spoken language Malagasy,698671009,44782512,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
mlt,0,None,language,Malta,Maltese,Main spoken language Maltese,698910004,44782896,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
mnc,0,None,language,Mandžu,Manchu,,No matching concept,0,None,,,2024-06-04,2099-12-31
mni,0,None,language,Manipuri,Manipuri,,No matching concept,0,None,,,2024-06-04,2099-12-31
mno,0,None,language,Manobo keeled,Manobo languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
moh,0,None,language,Mohoogi,Mohawk,,No matching concept,0,None,,,2024-06-04,2099-12-31
mol,0,None,language,Moldova,Moldavian,Main spoken language Moldavian,698911000,44782897,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
mon,0,None,language,Mongoli,Mongolian,Main spoken language Mongolian,698675000,44784512,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
