source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,source_name_eng,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
snk,0,None,language,Soninke,Soninke,,No matching concept,0,None,,,2024-06-04,2099-12-31
sog,0,None,language,Sogdi,Sogdian,,No matching concept,0,None,,,2024-06-04,2099-12-31
som,0,None,language,Somaali,Somali,Main spoken language Somali,315583002,4151759,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
son,0,None,language,Songai keeled,Songhai languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
sot,0,None,language,Sotho,"Sotho, Southern",Main spoken language Southern Sotho,698922001,44782909,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
spa,0,None,language,Hispaania,Spanish; Castilian,Main spoken language Spanish,315584008,4152252,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
srd,0,None,language,Sardi,Sardinian,Main spoken language Sardinian,970931000000107,46285425,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
srn,0,None,language,Sranani,Sranan Tongo,,No matching concept,0,None,,,2024-06-04,2099-12-31
srp,0,None,language,Serbia,Serbian,Main spoken language Serbian,408535006,4256749,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
srr,0,None,language,Sereri,Serer,,No matching concept,0,None,,,2024-06-04,2099-12-31
ssa,0,None,language,Niiluse-Sahara keeled,Nilo-Saharan languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
ssw,0,None,language,Svaasi,Swati,Main spoken language Swazi,698923006,44782910,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
suk,0,None,language,Sukuma,Sukuma,,No matching concept,0,None,,,2024-06-04,2099-12-31
sun,0,None,language,Sunda,Sundanese,Main spoken language Sundanese,698681008,44784517,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
sus,0,None,language,Susu,Susu,,No matching concept,0,None,,,2024-06-04,2099-12-31
sux,0,None,language,Sumeri,Sumerian,,No matching concept,0,None,,,2024-06-04,2099-12-31
swa,0,None,language,Suahiili,Swahili,Main spoken language Swahili,315585009,4152253,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
swe,0,None,language,Rootsi,Swedish,Main spoken language Swedish,408516006,4235405,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
syc,0,None,language,Vanasüüria,Classical Syriac,,No matching concept,0,None,,,2024-06-04,2099-12-31
syr,0,None,language,Süüria,Syriac,,No matching concept,0,None,,,2024-06-04,2099-12-31
zap,0,None,language,Sapoteegi,Zapotec,,No matching concept,0,None,,,2024-06-04,2099-12-31
zbl,0,None,language,Blissi sümbolid,Blissymbols; Blissymbolics; Bliss,,No matching concept,0,None,,,2024-06-04,2099-12-31
zen,0,None,language,Zenaga,Zenaga,,No matching concept,0,None,,,2024-06-04,2099-12-31
zgh,0,None,language,Maroko Tamasikti kirjakeel,Standard Moroccan Tamazight,,No matching concept,0,None,,,2024-06-04,2099-12-31
zha,0,None,language,Tšuangi,Zhuang; Chuang,Main spoken language Chuang,698935005,44782922,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
znd,0,None,language,Zande keeled,Zande languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
zza,0,None,language,Zaza,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,,No matching concept,0,None,,,2024-06-04,2099-12-31
zul,0,None,language,Suulu,Zulu,Main spoken language Zulu,698936006,44782923,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
zun,0,None,language,Sunji,Zuni,,No matching concept,0,None,,,2024-06-04,2099-12-31
zxx,0,None,language,Keelelise sisuta; ei ole rakendatav,No linguistic content; Not applicable,,No matching concept,0,None,,,2024-06-04,2099-12-31
tah,0,None,language,Tahiti,Tahitian,Main spoken language Tahitian,970991000000108,46285429,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tai,0,None,language,Kami-Tai keeled,Tai languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
tam,0,None,language,Tamili,Tamil,Main spoken language Tamil,315587001,4152379,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tat,0,None,language,Tatari,Tatar,Main spoken language Tatar,698924000,44782911,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tcy,0,None,language,Tulu,Tulu,,No matching concept,0,None,,,2024-06-04,2099-12-31
tel,0,None,language,Telugu,Telugu,Main spoken language Telugu,698925004,44782912,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
tem,0,None,language,Temne,Timne,,No matching concept,0,None,,,2024-06-04,2099-12-31
ter,0,None,language,Terena,Tereno,,No matching concept,0,None,,,2024-06-04,2099-12-31
